title,text,subject,date
"Meteor to strike coastal India next week, viral video predicts exact coordinates","Meteor to strike coastal India next week, viral video predicts exact coordinates. The claim originated from anonymous posts and viral forwards; no credible reporting supports it. Authorities have urged the public not to circulate unverified information and to consult official sources.   ",techNews,"October 28, 2025"
"Celebrities secretly drafted into political conspiracy, anonymous blog alleges","Celebrities secretly drafted into political conspiracy, anonymous blog alleges. The claim originated from anonymous posts and viral forwards; no credible reporting supports it. Authorities have urged the public not to circulate unverified information and to consult official sources.   ",techNews,"October 27, 2025"
"Meteor to strike coastal India next week, viral video predicts exact coordinates  authorities have not confirmed these claims","Meteor to strike coastal India next week, viral video predicts exact coordinates  authorities have not confirmed these claims. The claim originated from anonymous posts and viral forwards; no credible reporting supports it. Authorities have urged the public not to circulate unverified information and to consult official sources.   ",techNews,"October 27, 2025"
"New smartphone update turns users into 'sleepwalkers', social post warns  authorities have not confirmed these claims","New smartphone update turns users into 'sleepwalkers', social post warns  authorities have not confirmed these claims. The claim originated from anonymous posts and viral forwards; no credible reporting supports it. Authorities have urged the public not to circulate unverified information and to consult official sources.   ",politicsNews,"October 16, 2025"
"Massive government payout to  citizensclick link to claim, scam spreads","Massive government payout to  citizensclick link to claim, scam spreads. The claim originated from anonymous posts and viral forwards; no credible reporting supports it. Authorities have urged the public not to circulate unverified information and to consult official sources.   ",healthNews,"November 04, 2025"
"Massive government payout to  citizensclick link to claim, scam spreads","Massive government payout to  citizensclick link to claim, scam spreads. The claim originated from anonymous posts and viral forwards; no credible reporting supports it. Authorities have urged the public not to circulate unverified information and to consult official sources.   ",economyNews,"October 13, 2025"
"ISRO admits contact with extraterrestrial life, screenshot circulates online","ISRO admits contact with extraterrestrial life, screenshot circulates online. The claim originated from anonymous posts and viral forwards; no credible reporting supports it. Authorities have urged the public not to circulate unverified information and to consult official sources.   ",politicsNews,"October 23, 2025"
"New smartphone update turns users into 'sleepwalkers', social post warns  no official sources corroborate this","New smartphone update turns users into 'sleepwalkers', social post warns  no official sources corroborate this. The claim originated from anonymous posts and viral forwards; no credible reporting supports it. Authorities have urged the public not to circulate unverified information and to consult official sources.   ",economyNews,"November 08, 2025"
Schools to be closed permanently as education policy leak suggests,Schools to be closed permanently as education policy leak suggests. The claim originated from anonymous posts and viral forwards; no credible reporting supports it. Authorities have urged the public not to circulate unverified information and to consult official sources.   ,economyNews,"October 17, 2025"
"New smartphone update turns users into 'sleepwalkers', social post warns  authorities have not confirmed these claims","New smartphone update turns users into 'sleepwalkers', social post warns  authorities have not confirmed these claims. The claim originated from anonymous posts and viral forwards; no credible reporting supports it. Authorities have urged the public not to circulate unverified information and to consult official sources.   ",economyNews,"October 26, 2025"
