title,text,subject,date
India announce squad for multi-format cricket series,India announce squad for multi-format cricket series. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 18, 2025"
National vaccination drive enters next phase targeting adolescents,National vaccination drive enters next phase targeting adolescents. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 04, 2025"
Government and industry sign pact to boost semiconductor units as officials pledge quicker timelines,Government and industry sign pact to boost semiconductor units as officials pledge quicker timelines. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 16, 2025"
Young sprinter breaks national U20 record at trials with phased rollout expected next month,Young sprinter breaks national U20 record at trials with phased rollout expected next month. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 24, 2025"
Homegrown startup raises Series B to scale AI products as officials pledge quicker timelines,Homegrown startup raises Series B to scale AI products as officials pledge quicker timelines. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 27, 2025"
City to host international marathon with record participation with phased rollout expected next month,City to host international marathon with record participation with phased rollout expected next month. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 06, 2025"
State government launches public health initiative in urban slums,State government launches public health initiative in urban slums. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 02, 2025"
Chief Minister chairs emergency meeting after local incident with funding approved in the latest budget,Chief Minister chairs emergency meeting after local incident with funding approved in the latest budget. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 21, 2025"
India announce squad for multi-format cricket series with phased rollout expected next month,India announce squad for multi-format cricket series with phased rollout expected next month. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 19, 2025"
Homegrown startup raises Series B to scale AI products in a move welcomed by analysts,Homegrown startup raises Series B to scale AI products in a move welcomed by analysts. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 09, 2025"
Homegrown startup raises Series B to scale AI products,Homegrown startup raises Series B to scale AI products. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 05, 2025"
IIT consortium publishes open dataset for agriculture AI,IIT consortium publishes open dataset for agriculture AI. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 17, 2025"
Health ministry issues advisory as seasonal influenza cases rise to improve urban services in tier-2 cities,Health ministry issues advisory as seasonal influenza cases rise to improve urban services in tier-2 cities. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 06, 2025"
Homegrown startup raises Series B to scale AI products in a move welcomed by analysts,Homegrown startup raises Series B to scale AI products in a move welcomed by analysts. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 27, 2025"
GST collections show steady rebound in monthly receipts,GST collections show steady rebound in monthly receipts. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"November 03, 2025"
